type,k,risk_mean,risk_lo,risk_hi,flip_mean,flip_lo,flip_hi
NFP,9,0.16426556961733713,0.15866886921199697,0.1797964123104245,0.04199475065616798,0.02618110236220473,0.048556430446194225
NFP,10,0.17437578901425538,0.15826298421155086,0.1794799133883563,0.03674540682414698,0.026246719160104987,0.048556430446194225
CPI,-10,0.16773740769784934,0.15916647988634938,0.1803776452749942,0.02483660130718954,0.026143790849673203,0.048366013071895426
CPI,-9,0.1673314195316736,0.1592974194174842,0.18020403270466265,0.040522875816993466,0.026143790849673203,0.047058823529411764
CPI,-8,0.1730188462970334,0.15936004220468553,0.18086480905921054,0.03529411764705882,0.026143790849673203,0.048366013071895426
CPI,-7,0.1694768633324339,0.1596051017545272,0.1798183842936174,0.043137254901960784,0.026143790849673203,0.04967320261437908
CPI,-6,0.17228647496389318,0.15910313783893199,0.17963130632538307,0.03529411764705882,0.027450980392156862,0.048366013071895426
CPI,-5,0.16841299908894525,0.15935677410193017,0.17962922862025055,0.030065359477124184,0.026143790849673203,0.04967320261437908
CPI,-4,0.17663064676074214,0.15953337440836876,0.17953041372005948,0.044444444444444446,0.02483660130718954,0.048366013071895426
CPI,-3,0.16591192930932216,0.15923593107719483,0.18013573716039205,0.054901960784313725,0.026143790849673203,0.047058823529411764
CPI,-2,0.1724166441208476,0.1590148371133054,0.1800620570872687,0.023529411764705882,0.027450980392156862,0.04967320261437908
CPI,-1,0.17046814020109302,0.15866457591381372,0.17913963765206728,0.04183006535947712,0.026143790849673203,0.048366013071895426
CPI,0,0.17138150469643673,0.159162630589745,0.17987729305749678,0.03790849673202614,0.026143790849673203,0.048366013071895426
CPI,1,0.1691598351764168,0.15881896720334196,0.18007833539166096,0.05620915032679739,0.026143790849673203,0.04712418300653589
CPI,2,0.16998172164184494,0.1586328470851827,0.17952623462252326,0.03137254901960784,0.026143790849673203,0.048366013071895426
CPI,3,0.1693726071691167,0.15900598968614327,0.17886948421489238,0.03398692810457516,0.026143790849673203,0.048366013071895426
CPI,4,0.1700530814934447,0.15850800534299544,0.17983816364948765,0.03790849673202614,0.026143790849673203,0.048366013071895426
CPI,5,0.16786399431575494,0.15866515898036276,0.17880419723719734,0.03529411764705882,0.026143790849673203,0.048366013071895426
CPI,6,0.16235310427201166,0.1582725081275524,0.1793024317313699,0.0457516339869281,0.02483660130718954,0.048366013071895426
CPI,7,0.1687515466247117,0.1583758812542189,0.17899636463026963,0.032679738562091505,0.026143790849673203,0.048366013071895426
CPI,8,0.1625938433200701,0.15853172769655874,0.17981882690964945,0.027450980392156862,0.026143790849673203,0.048366013071895426
CPI,9,0.16667484845536,0.1586964839558263,0.17973846693699114,0.02875816993464052,0.02483660130718954,0.048366013071895426
CPI,10,0.17470032844992467,0.1577212113791169,0.17910454235614703,0.02091503267973856,0.027450980392156862,0.04967320261437908
